bidding_zone,Tech,Gen_MWh,Cap_MW,CapacityFactor,GhostGen
SI,Oil,175.0,58.0,0.00034443394740985673,False
SI,Other,0.0,0.0,,False
SI,Other renewable,0.0,1.0,0.0,False
SI,Waste,73399.0,40.0,0.2094720319634703,False
SK,Biomass,821784.0,214.0,0.43836896684163357,False
SK,Fossil Brown coal/Lignite,1260549.0,320.0,0.4496821489726027,False
SK,Fossil Hard coal,377776.0,221.0,0.19513626314593277,False
SK,Fossil Peat,0.0,,,False
SK,Gas,2696974.0,1153.0,0.2670197261858087,False
SK,Hydro Run-of-river and poundage,3984447.0,1208.0,0.37652777147781913,False
SK,Hydro Water Reservoir,322125.0,418.0,0.08797191453103494,False
SK,Nuclear,15346593.0,1940.0,0.9030382361248411,False
SK,Oil,527693.0,257.0,0.23439271183128121,False
SK,Other,1248888.0,418.0,0.3410696729370125,False
SK,Other renewable,544155.0,116.0,0.5355012990080302,False
SK,Waste,0.0,,,False
