MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	Representativity	ProvidedValue	CreationDate	ProvidedValueCode
Net Generating Capacity	6	B15	Other renewable	HR	2019	100	49.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	HR	2019	100	53.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	HR	2019	100	6.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	HR	2019	100	616.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	HU	2019	100	245.95	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	HU	2019	100	1048.87	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	HU	2019	100	4028.43	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	HU	2019	100	421.06	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	HU	2019	100	2.70	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	HU	2019	100	29.65	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	HU	2019	100	28.16	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	HU	2019	100	1898.87	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	HU	2019	100	74.40	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	HU	2019	100	936.25	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	HU	2019	100	59.44	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	HU	2019	100	327.48	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	IE	2019	100	4265.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	IE	2019	100	855.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	IE	2019	100	1272.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	IE	2019	100	343.60	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	IE	2019	100	17.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	IE	2019	100	292.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	IE	2019	100	216.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	IE	2019	100	647.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	IE	2019	100	1918.73	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	IT	2019	100	1538.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	IT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	IT	2019	100	1812.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	IT	2019	100	46322.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	IT	2019	100	4851.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	IT	2019	100	1443.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	IT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	IT	2019	100	869.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	IT	2019	100	7574.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	IT	2019	100	10650.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	IT	2019	100	3857.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B13	Marine	IT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	IT	2019	100	991.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	IT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	IT	2019	100	4717.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	IT	2019	100	132.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	IT	2019	100	0.00	29-05-2024 00:00:00	
